name,price,url,price_discounted,price_original,article_id,pct_discount
Patterned Duvet Cover Set,$19.99 $29.99,http://www.hm.com/us/product/73369?article=73369-A,19.99,29.99,73369-A,66.66
Patterned Mug,$2.99 $5.99,http://www.hm.com/us/product/59417?article=59417-D,2.99,5.99,59417-D,49.92
Metal Storage Box,$7.99 $17.99,http://www.hm.com/us/product/76797?article=76797-A,7.99,17.99,76797-A,44.41
Metal Tray,$14.99 $24.99,http://www.hm.com/us/product/76794?article=76794-A,14.99,24.99,76794-A,59.98
Porcelain Serving Dish,$9.99 $24.99,http://www.hm.com/us/product/80432?article=80432-A,9.99,24.99,80432-A,39.98
Metal Box,$7.99 $12.99,http://www.hm.com/us/product/78352?article=78352-A,7.99,12.99,78352-A,61.51
Stoneware Jar,$7.99 $17.99,http://www.hm.com/us/product/70658?article=70658-A,7.99,17.99,70658-A,44.41
Glittery Placemat,$4.99 $9.99,http://www.hm.com/us/product/72111?article=72111-A,4.99,9.99,72111-A,49.95
Porcelain Plate,$9.99 $12.99,http://www.hm.com/us/product/77665?article=77665-A,9.99,12.99,77665-A,76.91
Metal Storage Box,$7.99 $17.99,http://www.hm.com/us/product/70603?article=70603-A,7.99,17.99,70603-A,44.41
Bottle Stopper,$3.99 $6.99,http://www.hm.com/us/product/72262?article=72262-B,3.99,6.99,72262-B,57.08
Round Tray,$7.99 $17.99,http://www.hm.com/us/product/70427?article=70427-A,7.99,17.99,70427-A,44.41
Bottle Stopper,$2.99 $6.99,http://www.hm.com/us/product/72262?article=72262-A,2.99,6.99,72262-A,42.78
Porcelain Plate,$9.99 $12.99,http://www.hm.com/us/product/77665?article=77665-B,9.99,12.99,77665-B,76.91
2-pack Curtain Panels,$14.99 $34.99,http://www.hm.com/us/product/73380?article=73380-A,14.99,34.99,73380-A,42.84
Candle in Glass Jar,$7.99 $17.99,http://www.hm.com/us/product/35079?article=35079-C,7.99,17.99,35079-C,44.41
Satin Duvet Cover Set,$24.99 $49.99,http://www.hm.com/us/product/74773?article=74773-A,24.99,49.99,74773-A,49.99
Pile Throw,$29.99 $79.99,http://www.hm.com/us/product/75033?article=75033-A,29.99,79.99,75033-A,37.49
Jacquard-weave Cushion Cover,$4.99 $12.99,http://www.hm.com/us/product/60637?article=60637-C,4.99,12.99,60637-C,38.41
Patterned Duvet Cover Set,$19.99 $24.99,http://www.hm.com/us/product/70306?article=70306-A,19.99,24.99,70306-A,79.99
Slub-weave Cushion Cover,$2.99 $5.99,http://www.hm.com/us/product/60621?article=60621-B,2.99,5.99,60621-B,49.92
Tall Stoneware Vase,$14.99 $34.99,http://www.hm.com/us/product/69643?article=69643-A,14.99,34.99,69643-A,42.84
Jacquard-weave Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/72455?article=72455-B,6.99,17.99,72455-B,38.85
Glittery Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/72460?article=72460-B,6.99,17.99,72460-B,38.85
Glittery Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/72462?article=72462-B,6.99,17.99,72462-B,38.85
Wool-blend Rug,$99 $199,http://www.hm.com/us/product/71871?article=71871-A,99.0,199.0,71871-A,49.75
Washed Linen Duvet Cover Set,$54.99 $99,http://www.hm.com/us/product/73734?article=73734-A,54.99,99.0,73734-A,55.55
Cotton Velvet Cushion Cover,$6.99 $17.99,http://www.hm.com/us/product/74267?article=74267-A,6.99,17.99,74267-A,38.85
Color-block Cushion Cover,$4.99 $12.99,http://www.hm.com/us/product/73344?article=73344-A,4.99,12.99,73344-A,38.41
