violator,contract_id,citation_no,case_no,date_issues,final_order_date,section_of_act,date_terminated,citation,s_and_s,standard,standard_url,proposed_penalty,citation_status,current_penalty,amount_paid
"Spry's Dirt & Gravel, Inc.", ,8968279  ,000427475,11/16/2016,3/6/2017 ,104(a),11/16/2016,C,N,56.4101,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,114.00,Closed,114.00 ,114.00 
"Spry's Dirt & Gravel, Inc.", ,8961032  ,000413800,5/12/2016,8/29/2016 ,104(a),5/23/2016,C,N,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,100.00,Closed,100.00 ,100.00 
"Spry's Dirt & Gravel, Inc.", ,8774278  ,000367831,10/8/2014,104(a),10/22/2014,C,N,62.120,100.00,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf, , , , 
"Spry's Dirt & Gravel, Inc.", ,8774277  ,000367831,10/8/2014,104(a),10/9/2014,C,Y,56.12040,100.00,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf, , , , 
"Spry's Dirt & Gravel, Inc.", ,8774276  ,000367831,10/8/2014,104(a),11/24/2014,C,N,56.14132(b)(1),100.00,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf, , , , 
"Spry's Dirt & Gravel, Inc.", ,8766672  ,000359871,7/2/2014,10/5/2014 ,104(a),7/2/2014,C,N,56.4201(a)(2),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,100.00,Delinquent,100.00 ,50.01 
"Spry's Dirt & Gravel, Inc.", ,8681533  ,000325641,5/8/2013,8/9/2013 ,104(a),5/8/2013,C,N,56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,100.00,Delinquent,100.00 ,0.00 
"Spry's Dirt & Gravel, Inc.", ,8681532  ,000325641,5/8/2013,8/9/2013 ,104(a),5/8/2013,C,N,56.20003(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,100.00,Delinquent,100.00 ,0.00 
"Spry's Dirt & Gravel, Inc.", ,8681534  ,000325641,5/8/2013,8/9/2013 ,104(a),5/8/2013,C,N,56.16006,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,100.00,Delinquent,100.00 ,0.00 
"Spry's Dirt & Gravel, Inc.", ,8681535  ,000325641,5/8/2013,8/9/2013 ,104(a),5/8/2013,C,N,50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,100.00,Delinquent,100.00 ,0.00 
"Spry's Dirt & Gravel, Inc.", ,8676608  ,000287903,3/20/2012,6/7/2012 ,104(a),3/20/2012,C,N,56.9300(b),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,100.00,Closed,100.00 ,100.00 
"Spry's Dirt & Gravel, Inc.", ,8615967  ,000270764,9/20/2011,12/8/2011 ,104(a),9/20/2011,C,Y,56.12005,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,243.00,Closed,243.00 ,243.00 
"Spry's Dirt & Gravel, Inc.", ,8615969  ,000270764,9/20/2011,12/8/2011 ,104(a),9/21/2011,C,N,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,100.00,Closed,100.00 ,100.00 
"Spry's Dirt & Gravel, Inc.", ,8615968  ,000270764,9/20/2011,12/8/2011 ,104(a),9/20/2011,C,N,56.14112(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,100.00,Closed,100.00 ,100.00 
"Spry's Dirt & Gravel, Inc.", ,6574225  ,000224303,5/10/2010,8/5/2010 ,104(a),5/10/2010,C,N,50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,100.00,Closed,100.00 ,100.00 
"Spry's Dirt & Gravel, Inc.", ,6574208  ,000220879,3/30/2010,7/9/2010 ,104(a),4/1/2010,C,Y,56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,108.00,Closed,108.00 ,108.00 
"Spry's Dirt & Gravel, Inc.", ,6574207  ,000220879,3/30/2010,7/9/2010 ,104(a),4/1/2010,C,N,56.12030,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,100.00,Closed,100.00 ,100.00 
"Spry's Dirt & Gravel, Inc.", ,6574206  ,000220879,3/30/2010,7/9/2010 ,104(a),4/1/2010,C,Y,56.11001,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,100.00,Closed,100.00 ,100.00 
"Spry's Dirt & Gravel, Inc.", ,6467864  ,000183651,3/25/2009,6/5/2009 ,104(a),3/26/2009,C,N,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,100.00,Closed,100.00 ,100.00 
"Spry's Dirt & Gravel, Inc.", ,6467865  ,000183651,3/25/2009,6/5/2009 ,104(a),3/26/2009,C,Y,56.11001,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,100.00,Closed,100.00 ,100.00 
"Spry's Dirt & Gravel, Inc.", ,6467847  ,000180578,2/26/2009,5/7/2009 ,104(a),2/26/2009,C,N,50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,100.00,Closed,100.00 ,100.00 
"Spry's Dirt & Gravel, Inc.", ,6253268  ,000134738,10/29/2007,2/8/2008 ,104(a),10/30/2007,C,N,56.4201(a)(2),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,100.00,Closed,100.00 ,100.00 
"Spry's Dirt & Gravel, Inc.", ,6212440  ,000121034,3/8/2007,8/17/2007 ,104(a),3/20/2007,C,N,56.12028,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,60.00,Closed,60.00 ,60.00 
"Spry's Dirt & Gravel, Inc.", ,6238866  ,000068103,7/6/2005,3/9/2006 ,104(a),7/21/2005,C,N,56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,60.00,Closed,60.00 ,60.00 
"Spry's Dirt & Gravel, Inc.", ,6238867  ,000068103,7/6/2005,3/9/2006 ,104(a),7/21/2005,C,Y,56.12028,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,144.00,Closed,144.00 ,144.00 
"Spry's Dirt & Gravel, Inc.", ,6224306  ,000007091,5/6/2003,10/17/2003 ,104(a),5/6/2003,C,N,41.11,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,60.00,Closed,60.00 ,60.00 
