violator,contract_id,citation_no,case_no,date_issues,final_order_date,section_of_act,date_terminated,citation,s_and_s,standard,standard_url,proposed_penalty,citation_status,current_penalty,amount_paid
"Prescott Dirt, LLC", ,8830352  , ,4/27/2015,104(b),6/5/2015,O,N/A, ,Non-Assessable, , , , , 
"Prescott Dirt, LLC", ,8929130  ,000383401,4/8/2015,7/17/2015 ,104(a),4/27/2015,C,N,46.9(a), ,100.00,Closed,100.00 ,100.00 
"Prescott Dirt, LLC", ,8929133  ,000383401,4/8/2015,7/17/2015 ,104(a),4/27/2015,C,N,46.3(a), ,100.00,Closed,100.00 ,100.00 
"Prescott Dirt, LLC", ,8929131  ,000383401,4/8/2015,7/17/2015 ,104(g)(1),4/27/2015,O,Y,46.5(a), ,270.00,Closed,270.00 ,270.00 
"Prescott Dirt, LLC", ,8929132  ,000383401,4/8/2015,7/17/2015 ,104(a),6/5/2015,C,N,56.15001, ,112.00,Closed,112.00 ,112.00 
"Prescott Dirt, LLC", ,8929129  ,000383401,4/7/2015,7/17/2015 ,104(a),4/27/2015,C,N,56.18010, ,100.00,Closed,100.00 ,100.00 
"Prescott Dirt, LLC", ,8929128  ,000383401,4/7/2015,7/17/2015 ,104(a),4/27/2015,C,N,56.14100(b), ,100.00,Closed,100.00 ,100.00 
"Prescott Dirt, LLC", ,8830121  ,000366329,9/8/2014,12/13/2014 ,104(a),9/8/2014,C,N,50.30(a), ,100.00,Closed,100.00 ,100.00 
