violator,contract_id,citation_no,case_no,date_issues,final_order_date,section_of_act,date_terminated,citation,s_and_s,standard,standard_url,proposed_penalty,citation_status,current_penalty,amount_paid
Dirt Company, ,8601714  ,000423303,10/1/2016,12/16/2016 ,104(a),10/28/2016,C,N,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14132.pdf,114.00,Closed,114.00 ,114.00 
Dirt Company, ,8601713  ,000423303,10/1/2016,12/16/2016 ,104(a),10/28/2016,C,N,56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14132.pdf,114.00,Closed,114.00 ,114.00 
Dirt Company, ,8601712  ,000423303,10/1/2016,12/16/2016 ,104(a),10/28/2016,C,N,56.14112(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14132.pdf,114.00,Closed,114.00 ,114.00 
Dirt Company, ,8601716  ,000423303,10/1/2016,12/16/2016 ,104(a),10/28/2016,C,N,56.14103(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14132.pdf,114.00,Closed,114.00 ,114.00 
Dirt Company, ,8601715  ,000423303,10/1/2016,12/16/2016 ,104(a),10/28/2016,C,N,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14132.pdf,114.00,Closed,114.00 ,114.00 
Dirt Company, ,6356395  ,000416201,6/28/2016,9/16/2016 ,104(a),6/30/2016,C,N,56.14112(b),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14132.pdf,114.00,Closed,114.00 ,114.00 
Dirt Company, ,6356396  ,000416201,6/28/2016,9/16/2016 ,104(a),6/28/2016,C,N,56.14132(b)(2),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14132.pdf,114.00,Closed,114.00 ,114.00 
Dirt Company, ,8601413  ,000390299,7/2/2015,10/8/2015 ,104(a),8/25/2015,C,N,56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14132.pdf,100.00,Closed,100.00 ,100.00 
Dirt Company, ,8601395  ,000390299,7/2/2015,10/8/2015 ,104(a),8/25/2015,C,N,56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14132.pdf,100.00,Closed,100.00 ,100.00 
Dirt Company, ,8601400  ,000390299,7/2/2015,10/8/2015 ,104(a),8/25/2015,C,N,56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14132.pdf,100.00,Closed,100.00 ,100.00 
