violator,contract_id,citation_no,case_no,date_issues,final_order_date,section_of_act,date_terminated,citation,s_and_s,standard,standard_url,proposed_penalty,citation_status,current_penalty,amount_paid
SIMPSON DIRTWORX LLC, ,9365982  ,000453710,10/18/2017,1/14/2018 ,104(a),10/18/2017,C,N,56.12032,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-12032.pdf,116.00,Closed,116.00 ,116.00 
SIMPSON DIRTWORX LLC, ,9365983  ,000453710,10/18/2017,1/14/2018 ,104(a),10/18/2017,C,N,56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-12032.pdf,116.00,Closed,116.00 ,116.00 
SIMPSON DIRTWORX LLC, ,9365985  ,000453710,10/18/2017,1/14/2018 ,104(a),10/18/2017,C,N,46.9(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-12032.pdf,116.00,Closed,116.00 ,116.00 
SIMPSON DIRTWORX LLC, ,9365984  ,000453710,10/18/2017,1/14/2018 ,104(a),10/18/2017,C,N,56.12025,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-12032.pdf,116.00,Closed,116.00 ,116.00 
SIMPSON DIRTWORX LLC, ,9362435  ,000447415,7/16/2017,10/15/2017 ,104(a),8/3/2017,C,Y,56.12028,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-12032.pdf,280.00,Closed,280.00 ,280.00 
SIMPSON DIRTWORX LLC, ,9362434  ,000447415,7/16/2017,10/15/2017 ,104(a),7/19/2017,C,Y,56.12030,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-12032.pdf,280.00,Closed,280.00 ,280.00 
SIMPSON DIRTWORX LLC, ,9311179  ,000427976,11/30/2016,3/10/2017 ,104(a),12/1/2016,C,N,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-12032.pdf,114.00,Closed,114.00 ,114.00 
SIMPSON DIRTWORX LLC, ,9311180  ,000427976,11/30/2016,3/10/2017 ,104(a),12/1/2016,C,N,56.18002(b),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-12032.pdf,114.00,Closed,114.00 ,114.00 
SIMPSON DIRTWORX LLC, ,9311177  ,000427976,11/30/2016,3/10/2017 ,104(a),12/1/2016,C,N,56.12032,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-12032.pdf,114.00,Closed,114.00 ,114.00 
SIMPSON DIRTWORX LLC, ,9311178  ,000427976,11/30/2016,3/10/2017 ,104(a),12/1/2016,C,N,56.4101,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-12032.pdf,114.00,Closed,114.00 ,114.00 
SIMPSON DIRTWORX LLC, ,8924448  ,000411970,4/26/2016,7/17/2016 ,104(a),4/26/2016,C,N,56.12032,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-12032.pdf,100.00,Closed,100.00 ,100.00 
SIMPSON DIRTWORX LLC, ,8924447  ,000411970,4/26/2016,7/17/2016 ,104(a),4/26/2016,C,N,56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-12032.pdf,100.00,Closed,100.00 ,100.00 
SIMPSON DIRTWORX LLC, ,8924449  ,000411970,4/26/2016,7/17/2016 ,104(a),4/26/2016,C,N,56.14112(b),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-12032.pdf,100.00,Closed,100.00 ,100.00 
SIMPSON DIRTWORX LLC, ,8924450  ,000411970,4/26/2016,7/17/2016 ,104(a),5/5/2016,C,N,56.12028,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-12032.pdf,100.00,Closed,100.00 ,100.00 
