violator,contract_id,citation_no,case_no,date_issues,final_order_date,section_of_act,date_terminated,citation,s_and_s,standard,standard_url,proposed_penalty,citation_status,current_penalty,amount_paid
"PB Dirt Movers, Inc", ,9870748  ,000420126,8/3/2016,10/29/2016 ,104(a),8/3/2016,C,N,71.206(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec71-206.pdf,171.00,Closed,171.00 ,171.00 
"PB Dirt Movers, Inc", ,9093458  ,000409535,3/10/2016,6/19/2016 ,104(a),3/15/2016,C,Y,77.404(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec71-206.pdf,150.00,Closed,150.00 ,150.00 
"PB Dirt Movers, Inc", ,9093457  ,000409535,3/10/2016,6/19/2016 ,104(a),3/15/2016,C,N,77.1104,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec71-206.pdf,100.00,Closed,100.00 ,100.00 
"PB Dirt Movers, Inc", ,9870743  ,000404621,1/19/2016,4/17/2016 ,104(a),1/19/2016,C,N,71.206(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec71-206.pdf,150.00,Closed,150.00 ,150.00 
"PB Dirt Movers, Inc", ,9092704  ,000393515,8/5/2015,11/7/2015 ,104(a),8/11/2015,C,Y,77.404(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec71-206.pdf,100.00,Closed,100.00 ,100.00 
"PB Dirt Movers, Inc", ,9092703  ,000393515,8/5/2015,11/7/2015 ,104(a),8/5/2015,C,N,77.410(c),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec71-206.pdf,100.00,Closed,100.00 ,100.00 
"PB Dirt Movers, Inc", ,9091074  ,000380411,3/4/2015,6/6/2015 ,104(a),3/9/2015,C,Y,77.1104,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec71-206.pdf,100.00,Closed,100.00 ,100.00 
"PB Dirt Movers, Inc", ,9091075  ,000380411,3/4/2015,6/6/2015 ,104(a),3/4/2015,C,N,77.1110,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec71-206.pdf,100.00,Closed,100.00 ,100.00 
"PB Dirt Movers, Inc", ,9091073  ,000380411,3/4/2015,6/6/2015 ,104(a),3/4/2015,C,N,77.1110,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec71-206.pdf,100.00,Closed,100.00 ,100.00 
"PB Dirt Movers, Inc", ,9870729  ,000378065,2/25/2015,5/9/2015 ,104(a),2/25/2015,C,N,71.206(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec71-206.pdf,100.00,Closed,100.00 ,100.00 
"PB Dirt Movers, Inc", ,8214465  ,000366059,9/17/2014,12/5/2014 ,104(a),9/23/2014,C,N,77.1104,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec71-206.pdf,100.00,Closed,100.00 ,100.00 
"PB Dirt Movers, Inc", ,8214464  ,000366059,9/17/2014,12/5/2014 ,104(a),9/23/2014,C,Y,77.404(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec71-206.pdf,100.00,Closed,100.00 ,100.00 
"PB Dirt Movers, Inc", ,8214461  ,000366059,9/10/2014,12/5/2014 ,104(a),9/17/2014,C,N,77.1104,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec71-206.pdf,100.00,Closed,100.00 ,100.00 
