violator,contract_id,citation_no,case_no,date_issues,final_order_date,section_of_act,date_terminated,citation,s_and_s,standard,standard_url,proposed_penalty,citation_status,current_penalty,amount_paid
Sunshine Reclamation Inc., ,8657164  ,000291395,5/1/2012,7/25/2012 ,104(a),5/2/2012,C,N,56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,100.00,Closed,100.00 ,100.00 
Sunshine Reclamation Inc., ,8657165  ,000291395,5/1/2012,7/25/2012 ,104(a),5/1/2012,C,Y,56.9300(b),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,108.00,Closed,108.00 ,108.00 
Dirt Con, ,8580031  ,000242289,10/27/2010,1/30/2011 ,104(a),10/27/2010,C,Y,56.14100(d),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,585.00,Closed,585.00 ,585.00 
Dirt Con, ,8580030  ,000242289,10/27/2010,1/30/2011 ,104(a),10/27/2010,C,Y,56.14100(c),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,585.00,Closed,585.00 ,585.00 
Dirt Con, ,8580028  ,000239419,10/26/2010,1/2/2011 ,104(a),10/26/2010,C,Y,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,585.00,Closed,585.00 ,585.00 
Dirt Con, ,8580024  ,000239419,10/26/2010,1/2/2011 ,104(a),10/27/2010,C,Y,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,176.00,Closed,176.00 ,176.00 
Sunshine Reclamation Inc., ,8580029  ,000240535,10/26/2010,1/13/2011 ,104(a),10/26/2010,C,N,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,362.00,Closed,362.00 ,362.00 
Dirt Con, ,8580026  ,000252992,10/26/2010,5/28/2011 ,104(a),10/26/2010,C,Y,56.14207,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,"1,944.00",Closed,"1,944.00 ","1,944.00 "
Dirt Con, ,8580023  ,000252992,10/26/2010,5/28/2011 ,104(a),10/26/2010,C,Y,56.14130(g),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,585.00,Closed,585.00 ,585.00 
Dirt Con, ,8580025  ,000239419,10/26/2010,1/2/2011 ,104(a),10/27/2010,C,N,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,100.00,Closed,100.00 ,100.00 
Dirt Con, ,8580027  ,000239419,10/26/2010,1/2/2011 ,104(a),10/27/2010,C,Y,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,176.00,Closed,176.00 ,176.00 
Sunshine Reclamation Inc., ,8570069  ,000221815,4/19/2010,7/23/2010 ,104(a),5/4/2010,C,N,56.9300(b),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,150.00,Closed,150.00 ,150.00 
Sunshine Reclamation Inc., ,8570065  ,000221815,4/15/2010,7/23/2010 ,104(a),5/4/2010,C,N,56.14101(a)(3),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,285.00,Closed,285.00 ,285.00 
Sunshine Reclamation Inc., ,8570064  ,000221815,4/15/2010,7/23/2010 ,104(a),4/19/2010,C,N,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,100.00,Closed,100.00 ,100.00 
Sunshine Reclamation Inc., ,8570071  ,000221815,4/15/2010,7/23/2010 ,104(a),4/20/2010,C,N,56.14100(a),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,285.00,Closed,285.00 ,285.00 
Sunshine Reclamation Inc., ,8570062  ,000221815,4/15/2010,7/23/2010 ,104(a),4/19/2010,C,N,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,285.00,Closed,285.00 ,285.00 
Sunshine Reclamation Inc., ,8570063  ,000221815,4/15/2010,7/23/2010 ,104(a),4/19/2010,C,N,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,285.00,Closed,285.00 ,285.00 
Sunshine Reclamation Inc., ,8570070  ,000221815,4/15/2010,7/23/2010 ,104(a),4/19/2010,C,N,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,100.00,Closed,100.00 ,100.00 
Sunshine Reclamation Inc., ,8570067  ,000221815,4/15/2010,7/23/2010 ,104(a),4/15/2010,C,N,,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,100.00,Closed,100.00 ,100.00 
Sunshine Reclamation Inc., ,8570066  ,000221815,4/15/2010,7/23/2010 ,104(a),4/15/2010,C,Y,56.12034,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,"1,412.00",Closed,"1,412.00 ","1,412.00 "
Sunshine Reclamation Inc., ,8570068  ,000221815,4/15/2010,7/23/2010 ,104(a),4/15/2010,C,N,50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,100.00,Closed,100.00 ,100.00 
Dirt Con, ,8570060  ,000220499,4/14/2010,6/25/2010 ,104(a),4/15/2010,C,N,56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,100.00,Closed,100.00 ,100.00 
Dirt Con, ,8570058  ,000220499,4/14/2010,6/25/2010 ,104(a),4/15/2010,C,N,56.14100(d),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,100.00,Closed,100.00 ,100.00 
Dirt Con, ,8570055  ,000220499,4/14/2010,6/25/2010 ,104(a),4/14/2010,C,Y,56.15005,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,436.00,Closed,436.00 ,436.00 
Dirt Con, ,8570057  ,000220499,4/14/2010,6/25/2010 ,104(a),4/15/2010,C,N,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14107.pdf,100.00,Closed,100.00 ,100.00 
