violator,contract_id,citation_no,case_no,date_issues,final_order_date,section_of_act,date_terminated,citation,s_and_s,standard,standard_url,proposed_penalty,citation_status,current_penalty,amount_paid
PB Dirt Movers, ,8178810  ,000309181,9/20/2012,1/18/2013 ,104(a),9/28/2012,C,N,77.1000,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1000.pdf,100.00,Closed,100.00 ,100.00 
PB Dirt Movers, ,8178753  ,000305879,9/10/2012,12/13/2012 ,104(a),10/12/2012,C,Y,77.1104,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1000.pdf,100.00,Closed,100.00 ,100.00 
PB Dirt Movers, ,8178752  ,000305879,9/10/2012,12/13/2012 ,104(a),9/28/2012,C,Y,77.1104,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1000.pdf,100.00,Closed,100.00 ,100.00 
PB Dirt Movers, ,8178751  ,000305879,9/10/2012,12/13/2012 ,104(a),9/20/2012,C,N,77.215(g),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1000.pdf,100.00,Closed,100.00 ,100.00 
PB Dirt Movers, ,8178748  ,000302785,9/5/2012,11/15/2012 ,104(a),9/10/2012,C,Y,77.1104,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1000.pdf,100.00,Closed,100.00 ,100.00 
PB Dirt Movers, ,8178746  ,000302785,9/5/2012,11/15/2012 ,104(a),9/10/2012,C,Y,77.1104,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1000.pdf,100.00,Closed,100.00 ,100.00 
PB Dirt Movers, ,8178750  ,000302785,9/5/2012,11/15/2012 ,104(a),10/12/2012,C,Y,77.1104,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1000.pdf,100.00,Closed,100.00 ,100.00 
PB Dirt Movers, ,8178744  ,000302785,9/5/2012,11/15/2012 ,104(a),9/5/2012,C,Y,77.1605(k),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1000.pdf,100.00,Closed,100.00 ,100.00 
PB Dirt Movers, ,8178742  ,000302785,9/5/2012,11/15/2012 ,104(a),9/10/2012,C,Y,77.1104,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1000.pdf,100.00,Closed,100.00 ,100.00 
PB Dirt Movers, ,8178747  ,000302785,9/5/2012,11/15/2012 ,104(a),9/10/2012,C,N,77.1109(e)(1),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1000.pdf,100.00,Closed,100.00 ,100.00 
PB Dirt Movers, ,8178749  ,000302785,9/5/2012,11/15/2012 ,104(a),9/10/2012,C,N,77.1109(c)(1),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1000.pdf,100.00,Closed,100.00 ,100.00 
PB Dirt Movers, ,8178743  ,000305879,9/5/2012,12/13/2012 ,104(a),10/16/2012,C,Y,77.1000,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1000.pdf,100.00,Closed,100.00 ,100.00 
PB Dirt Movers, ,8197139  ,000297089,6/18/2012,9/14/2012 ,104(a),6/26/2012,C,Y,77.1104,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1000.pdf,100.00,Closed,100.00 ,100.00 
PB Dirt Movers, ,8197138  ,000297089,6/18/2012,9/14/2012 ,104(a),6/18/2012,C,N,77.1110,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1000.pdf,100.00,Closed,100.00 ,100.00 
