violator,contract_id,citation_no,case_no,date_issues,final_order_date,section_of_act,date_terminated,citation,s_and_s,standard,standard_url,proposed_penalty,citation_status,current_penalty,amount_paid
M.R. Dirt Inc., ,9317668  ,000442816,5/11/2017,8/19/2017 ,104(a),5/11/2017,C,N,50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec50-30.pdf,116.00,Closed,116.00 ,116.00 
M.R. Dirt Inc., ,8928850  ,000421654,8/8/2016,11/10/2016 ,104(a),8/8/2016,C,N,56.9301,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec50-30.pdf,114.00,Closed,114.00 ,114.00 
M.R. Dirt Inc., ,8807882  ,000380669,4/2/2015,6/7/2015 ,104(a),4/2/2015,C,N,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec50-30.pdf,100.00,Closed,100.00 ,100.00 
M.R. Dirt Inc., ,8650963  ,000282555,1/23/2012,4/12/2012 ,104(a),1/24/2012,C,N,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec50-30.pdf,100.00,Closed,100.00 ,100.00 
M.R. Dirt Inc., ,8650926  ,000274355,10/19/2011,1/11/2012 ,104(a),10/20/2011,C,N,56.1000,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec50-30.pdf,100.00,Closed,100.00 ,100.00 
M.R. Dirt Inc., ,8645898  ,000262818,6/9/2011,9/15/2011 ,104(a),6/9/2011,C,N,56.4101,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec50-30.pdf,100.00,Closed,100.00 ,100.00 
M.R. Dirt Inc., ,8645896  ,000262818,6/9/2011,9/15/2011 ,104(a),6/14/2011,C,N,56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec50-30.pdf,100.00,Closed,100.00 ,100.00 
M.R. Dirt Inc., ,8645897  ,000262818,6/9/2011,9/15/2011 ,104(a),6/9/2011,C,Y,56.3200,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec50-30.pdf,108.00,Closed,108.00 ,108.00 
