violator,contract_id,citation_no,case_no,date_issues,final_order_date,section_of_act,date_terminated,citation,s_and_s,standard,standard_url,proposed_penalty,citation_status,current_penalty,amount_paid
SIMPSON DIRTWORX LLC, ,9365981  ,000453711,10/18/2017,2/23/2018 ,104(a),10/24/2017,C,N,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14132.pdf,116.00,Closed,116.00 ,116.00 
SIMPSON DIRTWORX LLC, ,9365980  ,000453711,10/18/2017,2/23/2018 ,104(a),10/24/2017,C,N,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14132.pdf,116.00,Closed,116.00 ,116.00 
SIMPSON DIRTWORX LLC, ,9311181  ,000427977,11/30/2016,3/10/2017 ,104(a),12/19/2016,C,N,56.18010,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14132.pdf,114.00,Closed,114.00 ,114.00 
