violator,contract_id,citation_no,case_no,date_issues,final_order_date,section_of_act,date_terminated,citation,s_and_s,standard,standard_url,proposed_penalty,citation_status,current_penalty,amount_paid
"Holley Dirt Company, Inc", ,9421625  , ,5/15/2018,104(a),5/15/2018,C,Y,56.20003(a),Not Assessed Yet, , , , , 
"Holley Dirt Company, Inc", ,9335385  ,000453336,10/26/2017,1/13/2018 ,104(a),10/26/2017,C,Y,56.9300(a), ,116.00,Closed,116.00 ,116.00 
"Holley Dirt Company, Inc", ,9335386  ,000453336,10/26/2017,1/13/2018 ,104(a),10/26/2017,C,N,56.4601, ,116.00,Closed,116.00 ,116.00 
"Holley Dirt Company, Inc", ,9335384  ,000453336,10/26/2017,1/13/2018 ,104(a),10/26/2017,C,N,47.41(a), ,116.00,Closed,116.00 ,116.00 
"Holley Dirt Company, Inc", ,8912694  ,000442250,5/15/2017,8/9/2017 ,104(a),5/15/2017,C,N,56.14132(a), ,116.00,Closed,116.00 ,116.00 
"Holley Dirt Company, Inc", ,8638781  ,000427623,11/30/2016,2/18/2017 ,104(a),12/1/2016,C,N,56.12028, ,351.00,Closed,351.00 ,351.00 
"Holley Dirt Company, Inc", ,8903433  ,000411633,4/13/2016,7/6/2016 ,104(a),4/19/2016,C,Y,56.14100(b), ,100.00,Closed,100.00 ,100.00 
"Holley Dirt Company, Inc", ,8903436  ,000411633,4/13/2016,7/6/2016 ,104(a),4/19/2016,C,N,56.12004, ,100.00,Closed,100.00 ,100.00 
"Holley Dirt Company, Inc", ,8903432  ,000411633,4/13/2016,7/6/2016 ,104(a),4/13/2016,C,N,47.41(a), ,100.00,Closed,100.00 ,100.00 
"Holley Dirt Company, Inc", ,8903435  ,000411633,4/13/2016,7/6/2016 ,104(a),4/13/2016,C,Y,56.9300(a), ,117.00,Closed,117.00 ,117.00 
"Holley Dirt Company, Inc", ,8903434  ,000411633,4/13/2016,7/6/2016 ,104(a),4/19/2016,C,Y,46.11(d), ,117.00,Closed,117.00 ,117.00 
"Holley Dirt Company, Inc", ,8822975  ,000397972,10/7/2015,1/7/2016 ,104(a),10/27/2015,C,Y,56.14100(c), ,100.00,Closed,100.00 ,100.00 
"Holley Dirt Company, Inc", ,8822977  ,000397972,10/7/2015,1/7/2016 ,104(a),10/13/2015,C,N,56.9300(b), ,100.00,Closed,100.00 ,100.00 
"Holley Dirt Company, Inc", ,8822974  ,000397972,10/7/2015,1/7/2016 ,104(a),10/27/2015,C,Y,56.14100(b), ,100.00,Closed,100.00 ,100.00 
"Holley Dirt Company, Inc", ,8822976  ,000397972,10/7/2015,1/7/2016 ,104(a),10/27/2015,C,Y,56.14101(a)(2), ,100.00,Closed,100.00 ,100.00 
"Holley Dirt Company, Inc", ,8822973  ,000397972,10/7/2015,1/7/2016 ,104(a),10/7/2015,C,Y,56.9300(a), ,100.00,Closed,100.00 ,100.00 
"Holley Dirt Company, Inc", ,8818269  ,000382609,4/7/2015,7/6/2015 ,104(a),4/7/2015,C,Y,56.14211(b), ,100.00,Closed,100.00 ,100.00 
"Holley Dirt Company, Inc", ,8818270  ,000382609,4/7/2015,7/6/2015 ,104(a),4/8/2015,C,Y,56.12040, ,100.00,Closed,100.00 ,100.00 
"Holley Dirt Company, Inc", ,8818247  ,000375494,1/13/2015,4/11/2015 ,104(a),1/15/2015,C,N,56.12004, ,100.00,Closed,100.00 ,100.00 
"Holley Dirt Company, Inc", ,8835757  ,000360091,7/15/2014,10/8/2014 ,104(a),7/16/2014,C,N,56.14100(b), ,100.00,Closed,100.00 ,100.00 
"Holley Dirt Company, Inc", ,8835756  ,000360091,7/15/2014,10/8/2014 ,104(a),7/15/2014,C,N,50.30(a), ,100.00,Closed,100.00 ,100.00 
"Holley Dirt Company, Inc", ,8732850  ,000346593,2/25/2014,5/7/2014 ,104(a),2/27/2014,C,N,56.14100(a), ,100.00,Closed,100.00 ,100.00 
